"LocationDesc","DataValue"
"Alabama","334.6"
"Arkansas","327.3"
"Alaska","137.8"
"Arizona","215.2"
"California","204.2"
"Colorado","176.2"
"Connecticut","249.7"
"District of Columbia","251.5"
"Delaware","268.2"
"Florida","295.1"
"Georgia","226.9"
"Hawaii","240.6"
"Iowa","282.8"
"Idaho","219.5"
"Illinois","255.3"
"Indiana","275.9"
"Kansas","265.1"
"Kentucky","292.2"
"Louisiana","294.2"
"Massachusetts","228.6"
"Maryland","244.2"
"Maine","274.6"
"Michigan","317.5"
"Minnesota","197.8"
"Missouri","304.8"
"Mississippi","328.4"
"Montana","255.2"
"North Carolina","242.3"
"North Dakota","254.5"
"Nebraska","242.8"
"New Hampshire","238.2"
"New Jersey","260"
"New Mexico","220"
"Nevada","249.7"
"New York","269.5"
"Ohio","306.2"
"Oklahoma","321.3"
"Oregon","232"
"Pennsylvania","316.8"
"Rhode Island","276.4"
"South Carolina","274.8"
"South Dakota","271.1"
"Tennessee","303.7"
"Texas","204.5"
"Utah","155.5"
"Virginia","221.8"
"Vermont","270.5"
"Washington","206.8"
"Wisconsin","258.6"
"West Virginia","340.3"
"Wyoming","223.9"
